x,y,w,h
597,172,598,95
632,272,496,102
695,428,982,117
650,580,261,85
1219,570,534,90
661,632,200,77
672,733,210,73
1299,749,472,89
1531,857,235,76
604,897,576,97
1564,937,172,75
650,987,572,95
1548,1021,175,82
687,1072,442,84
1556,1116,176,85
609,1231,256,82
1539,1281,202,85
609,1319,184,85
1501,1364,196,86
604,1454,233,86
1168,1483,379,100
1519,1485,185,90
603,1519,234,86
609,1626,238,82
1598,1672,126,107
599,1786,520,85
609,1949,311,76
600,2039,202,73
1343,2040,137,81
572,2127,256,84
580,2207,293,79
1215,2312,506,101
602,2331,957,108
721,2564,801,101
724,2672,810,96
651,2730,943,105
675,2806,936,98
710,2887,822,98
808,2965,609,86
