x,y,w,h
291,98,1007,92
879,175,533,81
148,246,776,80
1548,272,246,69
1107,286,290,71
137,317,849,82
1502,348,279,64
1132,366,152,59
120,380,824,81
1127,411,136,63
1680,404,145,71
135,451,461,82
1698,455,128,67
1111,493,349,62
1121,546,348,66
1708,550,120,64
109,565,516,76
1716,596,117,60
1106,617,338,66
85,645,774,92
1737,659,95,65
1119,683,174,62
1115,752,143,60
114,768,565,77
1703,786,127,68
1107,806,178,65
1151,866,620,79
1655,864,194,72
112,877,817,81
1122,942,204,63
106,953,790,77
135,1013,675,75
1129,1017,140,65
1388,1011,330,61
150,1083,479,75
1118,1073,192,72
1124,1141,380,76
1704,1134,123,67
150,1184,487,74
1130,1216,379,71
1126,1265,371,77
1631,1258,128,76
152,1282,582,70
1132,1335,226,71
144,1359,614,74
145,1426,621,74
1522,1466,304,65
135,1489,656,79
1158,1556,656,81
143,1570,692,78
1167,1602,652,72
132,1645,779,84
1176,1664,648,71
141,1715,808,81
1141,1724,756,90
141,1798,808,79
1168,1792,701,74
1200,1848,543,83
136,1868,762,75
140,1947,725,79
1144,1962,538,70
1148,2052,642,76
1122,2124,779,75
1156,2202,705,77
1153,2277,637,77
1723,2290,240,99
1165,2342,568,73
1812,2347,149,89
165,2505,739,131
1144,2495,434,123
1611,2493,325,74
1595,2550,376,77
