x,y,w,h
427,685,1051,123
465,847,1002,101
466,921,999,102
491,999,978,107
541,1084,869,100
630,1171,677,90
628,1235,667,90
592,1317,709,90
666,1414,675,87
1102,1503,367,72
477,1523,251,73
877,1516,280,71
1196,1575,157,80
503,1596,145,71
926,1597,185,73
1190,1627,133,83
922,1647,176,74
1174,1704,113,88
919,1736,126,71
517,1786,312,85
1177,1784,108,81
918,1807,118,67
1177,1862,116,78
506,1886,296,87
919,1880,146,72
494,1940,289,86
1182,1940,108,71
914,1952,169,80
529,2006,172,80
1197,2014,99,65
909,2031,138,76
897,2096,153,71
630,2169,761,117
