x,y,w,h
165,7,864,66
132,69,842,60
12,120,602,58
486,198,594,54
918,209,328,48
362,254,228,44
715,255,184,48
1024,258,167,47
321,321,326,53
31,332,128,42
742,336,94,37
925,333,360,49
34,390,142,38
420,390,115,47
745,396,88,36
1033,395,125,45
31,451,181,40
422,455,111,44
746,460,84,34
1044,456,110,42
82,508,233,39
411,514,126,44
746,507,90,39
1035,514,120,45
43,564,256,44
398,571,152,46
741,576,89,38
1028,573,146,45
84,627,161,40
399,634,143,44
738,629,103,42
1026,636,148,43
23,683,140,38
388,687,165,44
736,683,114,45
992,694,205,44
90,766,1028,63
90,814,1061,65
91,871,965,61
