x,y,w,h
90,198,787,91
89,262,551,77
63,308,383,76
269,400,271,60
423,396,336,66
742,425,199,65
269,458,240,63
564,460,201,62
797,476,164,65
279,528,229,63
614,534,82,65
72,557,92,55
801,555,169,58
320,597,129,59
618,601,67,55
840,623,100,44
62,673,147,62
356,668,82,57
620,662,76,57
841,688,89,50
53,728,213,61
356,733,83,54
840,744,79,42
71,800,195,61
352,798,91,51
613,802,83,49
840,804,82,45
351,866,94,50
616,864,89,51
843,858,73,44
103,926,230,58
343,929,101,58
619,922,84,53
839,920,76,49
301,988,172,63
77,1064,725,84
85,1168,636,79
87,1305,689,79
108,1369,576,74
