x,y,w,h
366,563,1528,179
1133,772,780,108
176,848,1015,134
1435,857,683,81
1218,910,454,81
193,951,866,104
179,1043,906,101
168,1113,906,91
1118,1110,232,75
1112,1176,279,85
1158,1303,366,84
154,1378,347,84
550,1383,570,89
1181,1470,496,84
690,1509,448,76
1226,1589,801,105
178,1601,412,92
954,1604,330,75
1148,1659,878,96
1185,1708,839,105
182,1733,541,84
1159,1784,837,103
214,1831,423,79
1169,1871,839,100
187,1935,493,84
1166,1947,849,89
1134,1994,884,100
171,2033,571,91
1151,2047,890,105
1123,2103,931,107
187,2155,680,86
952,2165,595,94
1086,2196,957,105
234,2269,505,82
1157,2320,817,97
216,2388,316,74
1183,2388,666,87
192,2489,335,91
1176,2509,765,85
1133,2559,854,98
182,2662,416,90
689,2669,562,88
1141,2653,784,110
1165,2718,670,93
208,2774,357,92
862,2777,418,94
1181,2775,491,100
1179,2860,352,82
699,3029,968,133
574,3105,1086,162
