x,y,w,h
89,25,581,54
41,80,480,47
49,119,328,45
246,196,540,47
209,238,166,39
444,248,162,41
683,243,103,41
193,293,212,46
492,308,81,33
643,299,168,44
45,357,76,46
240,343,103,43
485,364,81,35
698,348,92,37
247,394,90,44
702,395,89,40
487,411,75,33
61,422,113,39
243,446,96,43
702,448,82,37
79,469,87,42
479,460,91,37
241,498,106,40
490,506,68,37
695,494,104,44
69,517,77,37
245,549,92,40
699,544,90,41
96,567,122,46
483,563,85,36
243,596,92,42
696,592,85,42
485,615,71,36
219,642,139,45
680,643,112,40
485,664,77,32
