x,y,w,h
407,11,501,38
14,50,538,34
108,70,664,39
347,134,189,27
624,136,167,29
860,139,179,30
1106,143,227,30
376,161,126,28
626,166,148,27
897,172,96,23
1115,171,206,26
371,187,121,28
606,193,194,28
887,193,123,31
1113,195,232,32
20,227,86,27
349,224,181,28
651,228,95,25
868,227,180,31
1148,234,172,26
21,257,79,25
379,257,109,26
663,260,68,26
903,264,93,24
1174,267,95,25
19,288,94,28
397,289,72,29
664,295,78,24
912,294,80,26
1184,297,83,27
24,321,131,25
391,323,76,25
667,325,66,24
916,329,77,23
1189,328,75,28
21,353,144,27
387,355,85,27
668,356,65,29
910,360,92,27
1177,360,94,28
19,387,120,26
384,386,86,26
662,386,77,28
910,391,84,25
1178,392,93,27
24,418,181,29
389,423,78,24
662,423,78,22
914,424,73,28
1186,428,86,23
15,450,100,26
365,453,111,27
662,455,78,26
904,454,90,27
1182,459,86,25
11,483,203,28
341,484,184,27
914,489,84,24
1182,494,88,24
7,516,240,30
331,518,191,27
898,522,94,26
1176,522,94,27
1,549,107,27
327,554,202,25
899,554,93,24
1177,556,95,25
-8,580,84,29
331,586,189,26
908,584,81,28
1178,587,87,28
-26,612,104,31
332,620,194,26
908,619,98,25
1183,623,83,24
5,648,116,30
330,652,177,29
909,652,90,28
1177,652,84,30
323,686,231,31
907,684,96,29
1179,689,88,26
139,742,876,41
8,774,583,37
-19,811,605,40
