x,y,w,h
1336,155,1373,452
1014,785,1772,313
2109,1728,365,72
289,1739,636,96
1121,1774,299,78
1673,1778,314,84
338,1796,484,76
2123,1797,417,81
2137,1910,596,82
1130,1953,307,66
1678,1945,316,73
376,1980,176,78
1112,2009,360,66
1649,2011,368,77
1094,2063,441,73
1587,2061,449,82
2113,2142,408,75
318,2177,555,83
1681,2239,214,67
330,2287,292,84
2114,2294,512,83
1180,2315,195,75
310,2345,296,77
1693,2345,239,70
1181,2364,206,76
1714,2388,200,72
309,2441,261,74
2150,2438,538,89
1176,2458,207,80
2131,2503,515,87
1653,2554,319,92
2055,2575,579,82
386,2721,2445,194
543,2832,2441,197
