x,y,w,h
2715,181,496,97
608,318,1099,89
551,371,1395,98
528,421,921,84
527,524,379,79
2825,533,442,85
894,578,1286,125
2290,676,314,88
1597,704,762,86
1251,743,364,76
1683,794,681,79
572,810,248,68
571,861,244,63
2426,873,205,78
1804,887,566,82
1149,918,448,80
561,950,239,71
2459,971,152,91
2096,992,258,77
1419,1015,218,76
528,1029,239,72
2116,1081,242,89
2453,1072,155,85
521,1111,650,84
1446,1108,207,72
2135,1181,224,91
539,1206,510,81
1446,1201,220,81
513,1301,551,80
1447,1291,211,86
2133,1289,266,93
517,1405,242,73
1424,1393,213,84
2146,1398,187,77
2148,1484,193,76
532,1500,240,68
1427,1495,211,82
512,1584,225,81
1328,1593,355,93
1156,1640,1405,95
603,1687,1535,100
2123,1764,401,61
484,1842,308,70
1218,1843,465,71
1370,1933,258,76
455,1946,390,74
2621,1960,413,69
920,2008,774,86
453,2057,1614,90
363,2121,1869,88
519,2163,1602,89
691,2207,1118,83
