x,y,w,h
-2,617,274,112
397,755,1536,170
768,940,472,106
1477,976,487,102
0,1010,199,86
2034,1009,189,102
1622,1068,380,88
15,1102,186,87
550,1175,731,110
1471,1181,541,98
37,1226,196,85
864,1285,400,116
1753,1316,257,96
996,1423,239,98
1801,1415,198,106
71,1437,544,96
1018,1535,226,105
1824,1532,169,97
98,1551,411,89
84,1642,451,96
1815,1639,194,106
995,1665,245,99
1807,1754,202,108
92,1768,173,81
973,1777,259,105
1947,1841,193,96
102,1866,176,94
1003,1904,252,109
868,2005,474,104
806,2034,1334,152
188,2100,1802,137
231,2239,1774,134
418,2342,1430,130
