x,y,w,h
881,66,447,85
118,91,657,64
835,117,491,77
141,130,602,53
146,170,535,54
814,164,483,77
849,209,407,55
159,222,539,52
131,263,628,62
850,256,383,45
141,296,629,52
839,302,379,62
132,330,623,54
839,339,417,54
92,361,654,57
841,369,407,48
133,391,588,58
138,423,522,55
138,465,462,55
166,567,593,70
175,609,570,71
870,612,384,60
860,651,392,58
149,696,584,57
850,694,368,48
140,734,581,62
861,730,388,48
816,761,457,51
120,797,593,53
841,819,387,51
857,845,296,55
136,859,616,61
170,898,561,53
988,936,295,56
227,971,460,55
990,994,238,53
278,1019,398,62
861,1106,335,53
154,1120,588,57
841,1152,341,45
99,1177,665,66
855,1186,302,47
837,1214,348,45
156,1250,585,53
817,1243,414,50
116,1277,620,64
878,1269,387,50
102,1325,614,48
118,1361,614,54
121,1420,630,55
136,1468,533,55
117,1506,604,55
111,1551,624,57
116,1591,639,56
80,1637,671,60
109,1684,628,53
129,1720,548,49
98,1804,669,57
