x,y,w,h
191,166,1129,121
573,326,398,97
56,487,1073,96
30,584,654,62
107,662,1245,71
57,703,1212,67
66,758,1179,73
636,751,860,123
228,825,874,65
81,926,601,52
45,997,500,62
628,1000,109,50
66,1029,343,55
887,1023,173,46
60,1125,160,46
590,1108,200,53
869,1116,211,54
592,1147,193,42
874,1147,186,48
70,1193,347,51
927,1212,107,51
50,1232,508,47
615,1244,124,44
929,1246,104,44
82,1285,264,54
620,1304,129,51
72,1326,224,49
929,1320,109,49
634,1346,115,46
69,1386,308,44
662,1401,97,44
918,1410,122,43
71,1439,261,44
631,1449,120,50
565,1508,194,44
840,1506,200,46
85,1556,755,64
11,1745,294,51
858,1755,184,76
1057,1747,523,60
1061,1786,452,117
1071,1783,444,49
858,1800,131,74
-6,1821,624,59
866,1864,123,71
29,1877,634,58
1100,1886,411,42
1074,1915,424,53
