x,y,w,h
341,66,1212,112
601,138,1036,85
98,174,807,89
64,258,535,83
525,389,1078,95
386,473,387,78
921,496,397,69
1448,516,228,73
56,564,199,73
386,578,497,97
1015,597,199,69
1380,614,375,84
60,651,189,65
493,666,204,69
999,699,219,62
74,726,229,74
1476,718,162,59
505,767,177,74
993,797,244,72
1463,803,190,67
111,821,291,76
485,861,191,64
993,862,230,69
1468,885,160,60
76,896,351,76
477,931,186,75
993,951,199,69
1467,977,158,59
116,997,238,71
485,1034,187,71
91,1071,173,70
976,1061,218,67
1469,1058,134,55
476,1108,173,73
973,1142,218,77
1461,1137,162,67
157,1259,1281,98
158,1358,1393,103
243,1439,1212,94
84,1538,807,90
