x,y,w,h
508,3,985,71
405,118,889,76
399,171,528,63
865,165,499,66
1090,199,335,70
394,249,245,56
876,447,309,63
1112,463,289,60
239,475,419,49
827,507,293,57
1197,508,323,56
239,536,296,49
1445,530,189,64
1246,552,236,52
221,565,579,54
1516,568,139,51
-19,587,243,46
1531,604,131,46
872,635,230,54
1275,639,162,51
-32,650,215,44
1273,671,185,55
1571,670,107,57
870,685,219,57
228,699,168,47
-6,741,188,48
227,790,477,47
878,781,185,58
1297,772,138,54
1593,769,113,54
4,833,236,47
229,867,552,46
899,874,171,62
1311,864,143,60
1601,858,124,54
-1,912,321,52
158,915,588,46
903,966,167,59
1310,958,166,56
214,980,529,46
8,1013,293,50
199,1052,595,48
883,1045,199,62
1319,1046,143,49
11,1074,180,47
250,1120,386,52
1324,1120,136,47
911,1131,156,61
1636,1165,120,54
227,1184,183,53
1321,1189,115,50
893,1205,177,59
134,1273,1339,78
164,1334,1490,81
