x,y,w,h
69,56,316,50
95,105,219,41
367,127,67,37
73,147,161,37
74,220,159,34
79,256,126,35
94,343,191,38
127,406,172,32
124,436,283,39
110,460,304,41
120,483,262,41
628,496,62,36
109,538,165,34
639,537,63,39
99,583,158,36
644,587,55,34
120,608,241,39
109,631,193,38
647,633,56,36
133,662,193,37
143,709,115,32
113,754,123,37
121,829,130,39
510,823,122,37
675,814,46,41
117,879,150,35
500,873,142,33
156,918,506,53
112,934,268,54
191,952,458,47
279,996,154,36
387,993,148,41
541,991,147,43
125,1024,83,33
114,1056,94,34
304,1045,84,32
462,1047,42,33
626,1045,50,34
120,1080,88,35
311,1070,86,33
464,1075,53,37
631,1075,46,38
305,1103,103,32
454,1111,100,39
630,1108,80,38
129,1134,96,37
304,1136,110,34
460,1144,110,37
624,1145,108,37
147,1160,137,42
470,1175,79,39
146,1186,121,39
633,1188,68,32
470,1207,49,39
633,1222,52,36
103,1272,370,67
