x,y,w,h
676,287,620,83
607,377,622,93
1172,527,196,78
589,711,386,77
622,889,304,81
650,971,356,75
642,1057,396,88
638,1130,519,84
626,1202,518,86
627,1283,393,77
615,1376,365,77
624,1437,422,83
632,1525,510,90
994,1599,260,78
637,1612,398,78
627,1689,289,79
1114,1763,125,70
594,1774,279,83
602,1899,266,84
600,1983,252,80
601,2064,210,82
588,2146,187,75
590,2215,247,80
610,2299,209,77
589,2388,239,78
585,2459,223,77
583,2547,235,80
578,2627,251,85
567,2702,282,83
570,2796,402,91
655,2931,785,86
652,2979,795,82
658,3056,749,78
574,3114,832,113
