x,y,w,h
322,859,501,83
356,936,1120,92
411,1007,1082,86
470,1084,1021,79
347,1152,951,85
485,1220,927,82
310,1285,609,69
345,1375,540,77
860,1367,741,90
664,1451,324,66
905,1456,656,75
867,1513,728,77
336,1543,161,68
751,1551,307,69
859,1576,729,74
750,1612,411,77
877,1657,510,71
865,1731,477,67
316,1780,389,68
856,1794,531,68
844,1868,532,68
357,1880,273,64
839,1910,477,65
333,1945,296,65
949,1994,478,68
333,2024,136,69
787,2058,167,77
978,2054,465,72
321,2125,171,73
783,2152,141,70
319,2220,119,77
824,2229,361,106
