x,y,w,h
141,27,849,90
1321,30,1117,98
90,74,751,93
1198,104,1265,89
1218,149,1258,93
100,180,922,113
1250,203,1179,83
63,241,1009,85
1229,267,1193,89
98,280,712,101
1270,333,1138,86
1264,390,1146,79
110,441,927,101
1314,435,1004,90
77,506,928,82
1234,501,733,86
116,553,800,79
762,719,1079,102
151,752,1531,107
2055,744,377,104
190,816,1542,92
138,873,1617,96
2003,874,496,116
290,924,1341,91
790,1078,734,80
990,1195,566,76
1610,1191,639,81
2122,1230,248,91
983,1249,596,77
1622,1244,609,75
1138,1326,275,72
1787,1346,237,69
175,1364,685,84
1204,1487,107,73
166,1510,839,73
157,1560,874,72
128,1601,900,76
125,1655,870,74
1194,1661,113,71
170,1752,751,83
131,1858,800,71
155,1933,785,82
226,1999,811,82
167,2047,661,75
179,2159,401,72
167,2221,384,66
1839,2213,130,71
208,2380,1915,108
134,2464,2014,117
219,2539,1866,117
