x,y,w,h
195,117,398,50
223,151,324,43
184,225,356,32
190,248,288,29
197,277,233,27
240,325,336,30
273,352,263,30
189,373,247,28
424,376,193,30
510,423,97,27
189,442,210,30
542,438,73,27
182,465,242,27
189,484,252,26
215,528,298,31
197,549,274,27
206,576,152,26
517,580,34,26
200,593,143,28
523,597,28,25
182,637,228,30
198,627,184,23
483,644,121,26
243,689,306,30
198,725,97,23
369,721,140,27
548,716,61,25
194,749,88,24
387,746,139,27
180,761,108,26
395,769,143,24
199,795,89,27
334,800,53,24
387,795,98,27
196,817,106,26
331,817,54,24
381,815,135,27
197,843,82,22
387,839,117,32
194,867,103,26
386,859,151,28
195,886,99,28
323,878,91,29
369,883,201,31
188,908,111,28
322,900,78,26
187,935,125,23
271,958,262,30
