x,y,w,h
124,453,303,55
244,444,406,46
196,516,505,68
481,552,238,54
206,588,274,40
637,606,80,37
193,626,246,40
202,688,191,35
205,717,176,33
586,710,126,48
203,751,200,29
602,761,99,35
208,789,280,39
611,791,87,35
628,844,58,30
201,877,123,31
465,880,55,35
206,918,112,29
471,918,60,32
217,956,112,30
471,958,51,31
203,981,109,37
646,981,41,39
197,1020,170,37
459,1029,56,29
205,1051,129,32
205,1093,85,29
453,1095,58,29
447,1135,65,29
217,1161,138,33
445,1165,71,28
204,1224,168,38
325,1264,87,33
445,1267,95,30
204,1285,94,32
184,1334,118,33
352,1318,54,31
446,1335,88,30
603,1327,53,42
