x,y,w,h
1044,165,153,34
105,180,807,46
1060,210,139,36
134,227,475,33
1062,244,155,38
111,261,661,36
127,312,659,38
1059,303,134,32
137,355,458,30
777,350,135,29
148,388,511,34
808,384,113,30
717,444,191,29
116,478,341,31
747,482,71,26
840,477,80,28
140,513,359,32
742,516,79,26
861,512,62,25
108,550,438,34
763,547,69,27
845,545,85,28
104,583,214,32
761,584,65,28
869,577,58,30
93,621,553,36
751,616,83,31
879,615,51,27
96,661,437,36
772,654,63,29
878,654,59,28
1107,662,106,37
105,694,231,34
759,694,71,29
1109,709,109,35
77,734,492,39
702,729,151,32
855,725,95,30
