x,y,w,h
58,70,512,60
646,98,164,64
110,139,340,40
697,148,92,41
83,171,430,49
75,256,433,58
72,315,266,52
615,323,182,47
115,373,349,52
632,380,154,46
123,426,474,59
633,435,161,48
660,518,127,38
68,558,281,50
528,557,72,44
668,562,101,38
75,616,261,45
498,609,106,46
664,615,103,37
79,670,184,46
507,668,92,44
678,665,82,38
509,712,90,44
681,712,78,39
82,723,336,49
520,768,77,42
681,761,72,39
119,781,284,45
522,820,74,40
98,836,110,43
644,855,106,42
479,866,154,42
89,885,365,49
147,968,503,39
131,999,500,38
144,1067,519,41
121,1093,549,41
114,1115,560,41
105,1131,497,58
