x,y,w,h
19,34,898,55
1055,34,89,40
1211,31,111,40
1053,84,109,39
1207,86,86,39
47,103,403,45
1200,131,115,45
-25,152,871,51
35,212,586,57
1049,212,119,37
1215,217,98,35
7,279,270,46
1049,278,108,42
1220,272,83,39
39,337,563,46
1041,339,134,42
1224,342,107,44
-24,399,931,56
1022,400,140,43
1202,407,121,42
45,455,655,49
-8,512,849,55
1123,519,203,46
-34,579,1014,47
682,573,589,49
1165,581,179,47
22,639,703,54
1045,637,141,51
1218,639,112,50
16,703,606,53
1049,699,141,42
1209,702,131,53
14,767,296,50
1094,768,245,51
