x,y,w,h
568,92,786,109
482,249,687,70
400,314,564,65
406,353,463,62
402,422,465,63
404,474,332,60
1369,480,217,62
406,510,312,59
373,553,401,60
1420,547,148,59
1432,622,146,60
1075,671,112,62
1460,681,115,60
419,704,259,53
1082,733,132,59
1476,737,103,61
430,759,243,53
1077,793,118,61
1475,800,106,57
412,816,272,55
1073,848,109,66
1482,853,108,60
407,878,239,60
398,921,382,65
1056,911,133,66
1488,917,89,60
1053,963,133,61
414,986,146,54
1050,1037,139,58
426,1050,190,50
394,1096,373,62
1034,1091,195,63
1481,1082,103,67
435,1177,391,63
1487,1224,92,56
468,1235,205,54
1495,1284,91,58
468,1295,183,54
476,1355,166,54
1487,1379,107,66
466,1403,182,55
470,1469,188,57
467,1520,193,56
1482,1557,105,60
478,1575,180,51
1485,1615,102,67
458,1635,235,53
472,1697,135,53
472,1738,143,54
