x,y,w,h
1,621,260,108
338,756,1604,172
766,950,457,98
1437,979,526,94
4,1014,186,82
2050,1013,151,97
1569,1064,432,85
20,1106,173,81
568,1174,679,109
1503,1185,501,98
46,1232,181,80
903,1292,354,104
1780,1317,225,91
2057,1324,113,103
1009,1415,226,101
1817,1421,172,93
75,1440,506,90
1021,1540,219,96
1825,1535,170,85
97,1554,380,85
86,1645,420,92
1820,1643,175,98
1002,1669,232,91
94,1763,174,83
1818,1760,173,99
994,1784,239,94
112,1871,152,87
1044,1910,205,91
901,2013,407,103
757,2038,1352,142
112,2058,576,140
211,2109,1674,121
189,2242,1766,128
391,2349,1421,119
