x,y,w,h
106,7,1046,85
538,147,666,58
191,222,668,67
177,274,515,56
214,345,394,53
1670,359,145,65
199,403,296,47
1677,401,139,61
193,445,387,55
1667,468,149,62
177,484,479,57
1632,542,180,60
1356,609,100,63
1697,603,115,64
160,623,289,62
1709,651,116,73
159,669,271,59
1369,662,94,60
1709,708,105,76
156,730,233,64
1355,723,111,61
143,783,375,60
1346,784,120,58
1328,839,130,59
180,896,334,59
1297,898,160,57
232,974,806,64
945,972,648,60
131,1025,815,68
175,1184,527,70
163,1248,403,65
116,1377,692,98
475,1568,463,106
132,1614,378,102
