x,y,w,h
516,33,632,73
679,80,507,72
457,131,158,60
846,181,330,61
442,207,160,64
1054,274,132,53
424,302,372,66
446,357,359,63
444,408,312,56
833,630,262,66
442,654,152,59
457,734,136,54
456,831,321,55
427,917,350,62
929,925,127,60
420,1156,567,76
439,1272,178,65
867,1268,251,56
443,1461,262,63
436,1583,295,58
931,1575,126,57
441,1616,193,63
425,1805,597,74
781,1921,347,64
439,1939,204,57
432,2023,161,58
875,2024,156,55
429,2060,169,54
407,2103,219,69
899,2146,154,58
421,2187,272,62
883,2184,188,58
477,2304,620,68
462,2403,675,67
439,2445,694,76
434,2487,700,87
