x,y,w,h
77,309,764,86
126,369,518,70
86,412,399,70
373,502,302,61
743,527,185,62
289,560,204,48
567,560,184,56
776,586,156,55
317,624,195,52
611,627,69,54
80,649,95,53
790,655,144,51
83,695,93,48
345,683,103,54
611,687,63,52
86,753,126,51
338,749,148,49
601,749,90,51
821,764,72,47
86,813,202,48
225,805,237,55
591,808,98,50
819,812,73,50
83,874,168,52
358,874,97,46
604,869,91,48
821,877,83,48
69,938,163,50
358,924,81,58
603,919,85,55
822,929,68,49
100,992,199,51
367,990,81,49
615,985,57,50
82,1046,143,48
313,1042,156,57
149,1102,632,77
101,1154,754,76
97,1219,686,74
64,1344,764,76
65,1404,597,69
124,1459,514,62
