x,y,w,h
419,636,347,119
711,712,1017,118
925,823,450,81
1463,867,372,99
422,907,178,86
1593,935,323,96
425,977,154,78
952,975,336,94
1562,1020,323,104
447,1072,190,71
1072,1063,270,99
1647,1119,225,92
1139,1151,188,95
457,1173,410,93
1701,1214,198,93
1167,1233,160,93
458,1278,348,82
1173,1327,167,94
449,1369,299,77
1716,1379,170,91
1164,1433,157,94
1730,1458,130,88
1138,1490,185,93
452,1534,174,73
988,1568,401,113
523,1672,1379,110
520,1791,1463,120
691,1861,1177,116
1671,2063,229,174
1887,2930,142,113
