x,y,w,h
127,12,655,72
39,87,519,54
38,141,452,51
340,209,554,57
263,272,209,53
558,271,176,51
799,265,153,45
40,333,123,46
272,331,207,50
597,328,97,42
809,318,168,51
43,389,121,45
351,396,58,48
608,388,77,44
853,382,59,41
43,443,152,46
344,451,70,46
604,442,84,41
854,432,71,44
78,496,165,49
352,501,61,46
608,498,81,38
850,537,73,44
56,555,224,48
341,563,76,47
605,557,83,38
857,591,55,40
89,615,141,44
334,625,92,48
601,610,90,39
848,642,71,42
44,662,125,42
589,664,108,42
320,677,128,45
43,721,333,48
333,711,610,47
121,732,764,60
91,774,788,56
80,821,757,56
