x,y,w,h
798,422,1184,139
803,499,1268,132
812,571,1205,131
821,657,983,111
853,790,550,113
1532,922,617,107
858,1005,535,101
1676,1047,418,82
800,1120,670,97
850,1195,611,90
789,1345,700,99
822,1406,655,92
810,1525,729,105
1924,1653,188,111
793,1680,918,103
935,1852,641,94
847,2118,385,126
1650,2179,424,101
852,2241,374,99
1740,2309,377,92
816,2373,385,92
1692,2427,414,100
811,2489,337,87
1668,2543,453,96
782,2619,500,96
830,2737,964,111
1641,2783,501,94
826,2818,1023,106
878,2888,901,108
1212,3112,293,99
1538,3243,252,94
1200,3319,318,87
792,3372,340,97
1545,3370,341,110
747,3478,472,98
2966,3626,205,114
691,3762,1032,135
748,3844,1283,135
2965,3853,267,118
796,3955,1073,118
2935,3998,291,127
