x,y,w,h
305,84,1194,128
639,242,469,88
1254,256,424,67
1757,287,107,58
71,314,156,65
1432,342,248,74
67,403,153,58
1223,437,428,68
594,451,526,73
77,505,169,60
1508,547,181,60
907,559,220,67
1741,559,120,59
67,596,123,60
877,651,264,77
1750,644,98,59
78,680,484,64
923,768,205,64
1552,757,118,55
1752,758,102,55
95,784,330,62
1723,841,124,50
118,882,379,63
924,873,213,62
1483,944,182,67
1752,946,90,52
896,971,258,64
116,982,119,51
1497,1047,147,59
130,1068,171,59
903,1078,277,62
1495,1134,170,62
121,1154,108,61
838,1172,342,69
745,1221,1074,81
192,1255,1334,83
