x,y,w,h
199,473,809,133
832,469,1425,95
554,519,1452,100
191,595,627,105
818,598,1374,93
814,653,1383,90
849,713,1353,91
194,725,470,76
921,766,1268,85
266,785,529,86
780,824,1129,94
674,873,1027,99
790,922,796,80
270,957,254,67
1481,1007,597,83
275,1043,297,67
1539,1087,537,83
285,1120,315,81
1543,1144,552,77
1535,1193,617,78
1505,1251,672,79
247,1286,368,78
1533,1329,627,83
256,1365,440,92
1527,1395,674,74
829,1412,520,86
230,1443,436,84
1488,1438,723,72
828,1499,581,80
1465,1495,752,80
274,1532,232,72
244,1572,249,85
1515,1572,630,82
883,1605,517,76
1501,1684,700,79
262,1707,598,71
254,1794,579,79
1492,1862,750,71
354,1902,489,71
1109,1900,196,69
1324,1935,960,99
266,1959,426,76
981,2049,408,84
248,2253,166,80
1110,2301,356,104
245,2405,304,88
267,2507,633,110
484,2674,1000,110
