x,y,w,h
432,158,833,76
389,221,771,70
389,301,935,73
369,382,976,78
378,459,907,76
365,518,882,76
382,563,855,67
397,604,662,66
377,666,593,66
375,745,925,73
349,796,958,69
380,835,830,66
368,896,559,65
583,978,581,69
382,1059,120,62
381,1129,132,55
375,1227,297,65
382,1273,305,58
353,1313,283,55
853,1310,78,54
408,1497,817,70
341,1576,1063,73
327,1689,961,74
371,1754,795,66
306,1831,898,70
359,1941,535,60
361,2004,527,64
383,2063,725,66
327,2101,905,82
311,2168,895,73
355,2314,628,62
315,2397,639,62
322,2440,608,64
1060,2435,370,85
