x,y,w,h
725,311,1501,148
140,341,564,137
175,475,537,126
829,468,1373,145
157,554,518,119
838,613,1266,131
156,645,539,126
848,696,1247,131
208,780,394,132
817,775,1276,120
857,839,1233,129
907,910,1178,131
475,960,175,119
1027,986,1055,129
1111,1075,1045,124
460,1146,194,124
1112,1164,1025,116
1179,1282,941,117
936,1377,180,100
1205,1422,893,111
931,1531,209,105
1260,1530,828,107
184,1556,407,141
1319,1615,680,100
935,1729,156,111
161,1772,206,127
1396,1845,450,94
1817,1938,212,102
1773,2323,247,106
1823,2424,179,109
751,2458,192,120
205,2482,158,114
1392,2473,248,111
1379,2543,266,112
1401,2680,244,100
