x,y,w,h
216,34,905,73
817,111,561,56
63,137,868,69
669,198,711,52
161,224,681,65
616,254,791,53
637,304,738,50
452,317,193,52
671,360,674,49
455,392,170,50
57,410,160,44
665,419,702,52
662,448,690,55
51,485,172,50
449,479,125,50
674,478,727,54
642,521,782,50
63,566,221,51
445,563,182,48
626,571,793,50
662,625,677,50
86,648,325,48
468,643,124,49
684,687,610,50
84,732,218,47
499,724,125,51
658,737,693,52
620,785,754,49
66,809,239,49
437,807,159,48
684,806,684,71
84,894,313,53
473,888,123,48
681,953,406,52
95,978,181,48
453,972,134,46
702,1023,450,53
65,1059,178,45
502,1053,231,47
689,1078,591,58
670,1131,680,59
625,1180,779,60
109,1217,544,54
710,1255,285,48
120,1297,256,64
371,1289,193,56
703,1306,423,46
627,1345,708,57
114,1385,81,49
300,1378,61,54
467,1375,73,51
