x,y,w,h
992,265,216,95
361,300,500,85
1274,294,405,97
90,346,394,96
1034,409,188,94
424,433,395,89
1283,423,472,88
101,449,179,76
110,548,186,81
482,561,349,91
1017,553,195,88
1293,538,436,95
123,617,195,88
1332,661,444,95
454,690,488,84
124,744,429,94
431,802,630,95
1345,797,290,77
1027,813,177,75
128,849,218,81
1270,915,340,78
466,928,571,94
1023,928,192,80
135,946,208,82
1114,1027,642,78
152,1055,296,83
482,1052,919,97
991,1105,825,94
169,1131,319,82
367,1147,1105,104
188,1206,244,71
393,1248,894,95
165,1303,897,103
853,1300,920,98
295,1361,1407,108
302,1413,1457,110
270,1493,1495,110
232,1559,1538,116
230,1637,1507,115
210,1711,1473,112
222,1773,1423,112
278,1871,1230,106
219,2048,992,118
289,2130,877,98
309,2355,583,86
332,2433,625,85
377,2504,573,79
