x,y,w,h
145,2,548,45
254,111,353,42
263,140,279,43
894,174,211,39
868,243,229,37
857,319,252,32
328,349,332,48
856,354,255,32
865,437,229,35
1596,456,142,42
1595,483,149,40
39,512,117,39
855,502,238,33
862,543,227,30
22,560,130,40
849,573,252,32
15,607,143,39
866,630,242,32
26,649,152,38
260,650,388,38
19,677,198,43
904,670,306,36
336,695,356,38
8,716,219,43
-2,743,260,40
719,744,435,38
1365,741,388,46
701,765,435,41
1356,770,570,65
1,783,246,38
647,795,517,41
-10,816,283,39
611,822,553,44
-4,842,266,40
587,848,569,45
1379,837,572,49
7,870,236,40
1326,867,534,53
440,882,795,51
9,906,259,45
1296,897,673,54
7,935,293,48
266,932,1017,56
1297,929,661,60
-14,973,361,56
331,974,837,55
1350,973,590,57
477,1004,601,51
1343,1017,479,49
