x,y,w,h
1632,276,1060,99
158,304,1445,131
1648,333,1014,105
237,381,1295,114
505,443,1179,126
1702,445,934,99
189,503,1295,128
1675,525,974,97
248,576,1014,98
1688,591,1006,96
1665,651,1038,94
343,722,806,82
1689,715,1028,97
1705,769,980,99
260,815,826,124
1726,837,933,97
256,905,889,95
1707,901,946,94
1678,955,970,91
1368,1005,432,116
857,1032,616,80
1676,1024,984,106
1684,1091,987,108
271,1146,722,87
1702,1191,971,97
358,1223,783,87
1697,1272,1002,100
306,1325,823,92
1705,1315,1009,119
1685,1374,1000,106
232,1417,1135,128
1706,1452,960,104
130,1512,1302,97
1704,1571,976,87
283,1635,793,110
258,1725,709,97
254,1837,1023,100
1694,1881,950,102
288,1935,780,103
1751,1959,894,90
275,2029,610,92
1759,2038,909,97
1700,2094,975,102
246,2140,493,73
1716,2191,970,102
225,2264,495,99
1743,2258,921,89
786,2287,528,81
1704,2357,978,98
1693,2440,989,98
764,2480,748,72
1701,2515,964,102
649,2569,989,105
1746,2574,943,99
243,2587,497,98
1725,2664,972,94
366,2697,1228,106
1701,2734,1025,92
1697,2788,1006,104
287,2848,1275,108
1715,2852,970,96
257,2906,879,108
1727,2917,928,93
1675,2988,990,100
783,3027,432,83
1690,3093,991,103
282,3143,369,88
1765,3180,910,99
269,3208,409,84
1687,3290,1018,110
1699,3375,996,103
271,3428,645,86
1786,3452,819,100
228,3606,973,113
1962,3628,787,134
213,3698,967,119
2142,3783,618,108
