x,y,w,h
305,78,984,104
636,232,122,72
887,222,247,86
1397,219,76,66
612,319,175,85
902,301,234,86
1277,311,182,75
569,436,248,80
957,434,206,82
1352,440,123,64
70,461,201,73
561,550,274,79
938,546,246,83
1370,537,92,67
41,677,483,81
585,668,193,82
955,660,186,85
1313,664,167,73
100,772,333,84
999,854,164,87
1319,853,171,82
115,874,319,84
605,867,193,85
99,1001,235,72
619,991,194,75
1382,982,110,67
95,1091,330,78
636,1085,162,77
1024,1079,142,82
128,1209,206,84
610,1200,174,90
1002,1199,163,84
1324,1195,163,78
594,1331,225,84
973,1321,206,87
1379,1312,127,73
252,1525,1142,107
426,1628,761,96
337,1732,941,102
343,1843,927,87
