x,y,w,h
125,12,584,60
25,70,438,51
24,113,314,47
290,167,500,47
236,216,166,39
460,215,162,41
685,216,128,42
23,266,106,40
219,258,206,49
503,264,77,37
661,262,194,43
28,317,106,38
288,319,65,38
502,319,74,37
717,322,70,36
25,362,130,42
270,367,89,40
504,369,67,33
714,367,82,36
62,408,139,39
281,410,78,38
509,418,58,32
719,418,65,35
24,453,183,46
276,458,89,38
506,454,68,34
709,461,94,38
64,509,110,35
280,502,81,38
507,513,61,31
713,508,74,36
23,546,114,38
268,550,105,45
510,546,62,34
699,554,101,36
100,611,690,54
80,659,727,49
