x,y,w,h
316,282,1281,165
401,455,929,113
311,563,1094,110
375,745,847,96
966,860,731,94
382,878,424,86
1166,1004,485,81
375,1129,638,90
1500,1121,154,70
1530,1223,135,77
444,1249,708,91
1518,1337,154,79
471,1369,635,84
1514,1463,151,69
365,1481,751,91
1524,1574,135,73
384,1602,759,88
1516,1683,145,71
399,1708,947,94
1512,1795,155,74
484,1828,732,88
477,1947,486,84
422,2056,512,89
1258,2210,376,85
473,2244,414,79
1465,2304,193,64
449,2345,330,72
1149,2352,201,67
714,2364,238,63
1036,2379,626,90
571,2450,961,85
408,2508,1164,106
456,2577,968,85
