x,y,w,h
105,476,550,91
631,572,417,87
115,588,444,81
690,678,348,83
140,703,196,67
838,761,199,90
118,855,514,86
888,849,143,90
1284,839,870,155
170,949,430,84
140,1029,407,78
1205,1071,669,93
130,1117,218,80
1199,1172,974,99
133,1211,216,74
137,1273,182,80
1123,1264,1167,93
779,1286,252,83
1061,1306,1282,108
121,1370,178,80
619,1365,437,101
1079,1360,1252,110
114,1436,185,81
1206,1471,804,94
117,1546,202,76
433,1551,377,68
1181,1582,1047,98
780,1634,225,77
1163,1679,1098,97
115,1714,491,94
858,1720,172,72
1261,1757,772,87
106,1785,450,92
878,1782,156,78
1219,1836,896,92
114,1876,384,89
1210,1932,871,93
1223,1999,891,95
132,2050,206,73
1153,2078,1085,97
1167,2156,1101,101
120,2211,796,101
1218,2250,999,90
131,2272,848,99
161,2333,768,97
1191,2325,983,94
222,2383,690,85
1193,2398,1015,94
234,2440,647,88
1131,2470,1134,104
171,2487,769,81
152,2568,860,77
1192,2559,719,79
133,2620,841,84
1223,2683,690,77
1179,2785,972,94
1146,2833,1022,93
1133,2906,1036,95
172,2934,233,113
470,2927,507,85
482,3002,481,87
1193,3000,823,88
