x,y,w,h
19,29,832,41
952,52,690,51
-24,73,888,41
977,106,413,40
954,150,485,41
-1,172,898,44
9,207,849,43
1238,218,384,42
2,257,878,45
1227,266,289,37
-32,307,951,49
821,318,219,43
1169,311,510,47
9,350,878,46
862,367,163,37
1237,369,121,37
1502,371,117,37
-4,390,920,48
882,416,178,37
1245,418,107,35
1497,416,129,38
-2,434,924,47
3,474,896,48
950,463,205,39
1236,469,120,35
1490,468,129,35
-8,515,915,47
897,514,248,39
1237,516,110,34
1488,513,120,37
-19,553,930,47
938,567,177,32
1242,570,101,30
1495,564,125,37
10,596,880,42
843,605,228,42
1221,611,135,36
1482,610,138,39
-28,636,867,40
11,674,711,41
-20,713,845,41
-2,755,464,38
1369,846,377,32
381,869,455,34
1375,865,354,31
1281,919,438,36
336,955,384,44
945,1015,278,52
1236,1038,309,44
