x,y,w,h
725,320,974,120
105,385,297,119
1003,383,707,117
110,462,307,101
1326,462,542,129
1410,536,590,113
788,592,360,89
2006,593,191,122
1093,606,275,102
1546,612,541,100
1674,709,309,92
1139,721,212,89
105,796,757,99
1155,823,190,88
1833,825,194,91
140,908,599,86
1159,933,181,84
160,1017,580,86
1159,1036,178,85
1860,1078,171,102
1160,1142,167,84
1115,1232,217,83
867,1330,564,95
514,1414,1443,128
695,1573,832,102
702,1685,623,88
2043,1690,178,83
206,1778,1415,107
293,1900,1627,120
365,2009,1482,109
474,2070,1234,102
159,2243,1316,113
106,2353,1659,134
68,2477,1255,125
270,2667,1626,140
46,2776,1875,142
30,2872,1874,140
4,2950,1642,132
1769,2948,310,123
79,3020,1577,127
1844,3048,245,109
159,3095,1368,130
